[2026-04-16 | 21:57:46] [INFO] ------------- LOGGING START -------------
[2026-04-16 | 21:57:46] [INFO] Server Initalized Successfully!
[2026-04-16 | 21:57:46] [INFO] Server Start Successful!
[2026-04-16 | 21:57:46] [INFO] DB Connect Successful!
[2026-04-16 | 21:57:46] [INFO] Client Session Connect with IOCP handle successful!
[2026-04-16 | 21:58:16] [INFO] Client Session Connect with IOCP handle successful!
[2026-04-16 | 21:58:29] [ERROR] [ID: 1] Fail to Register IOCP handle
[2026-04-16 | 21:58:33] [INFO] Client Session Connect with IOCP handle successful!
[2026-04-16 | 21:58:45] [ERROR] [ID: 2] Fail to Register IOCP handle
[2026-04-16 | 22:01:15] [ERROR] [ID: 0] Fail to Register IOCP handle
[2026-04-16 | 22:01:16] [INFO] Client Session Connect with IOCP handle successful!
[2026-04-16 | 22:01:18] [ERROR] [ID: 3] Fail to Register IOCP handle
[2026-04-16 | 22:09:44] [INFO] Client Session Connect with IOCP handle successful!
[2026-04-16 | 22:09:50] [INFO] [SESSION ID: 4] [PACKET ID: 501 - SIZE: 24] Pakcet Received!
[2026-04-16 | 22:09:50] [INFO] [Login Req] ID: admin, PW: admin
[2026-04-16 | 22:09:50] [INFO] Login to Server Successful! [UID: 1]
[2026-04-16 | 22:09:50] [INFO] [4] Session Login Success! [UID: 1]
[2026-04-16 | 22:09:50] [INFO] Send Update Room List Packets!
[2026-04-16 | 22:09:51] [INFO] [SESSION ID: 4] [PACKET ID: 505 - SIZE: 4] Pakcet Received!
[2026-04-16 | 22:09:51] [ERROR] Room is full
[2026-04-16 | 22:10:04] [ERROR] [ID: 4] Fail to Register IOCP handle
[2026-04-16 | 22:10:04] [INFO] Room [0] is Empty and Destroyed by Server.
[2026-04-16 | 22:10:04] [INFO] Send Update Room List Packets!
[2026-04-16 | 22:20:23] [INFO] Client Session Connect with IOCP handle successful!
[2026-04-16 | 22:20:27] [INFO] [SESSION ID: 5] [PACKET ID: 501 - SIZE: 24] Pakcet Received!
[2026-04-16 | 22:20:27] [INFO] [Login Req] ID: admin, PW: admin
[2026-04-16 | 22:20:27] [INFO] Login to Server Successful! [UID: 1]
[2026-04-16 | 22:20:27] [INFO] [5] Session Login Success! [UID: 1]
[2026-04-16 | 22:20:27] [INFO] Send Update Room List Packets!
[2026-04-16 | 22:20:28] [INFO] [SESSION ID: 5] [PACKET ID: 505 - SIZE: 4] Pakcet Received!
[2026-04-16 | 22:20:28] [ERROR] Room is full
[2026-04-16 | 22:30:41] [ERROR] [ID: 5] Fail to Register IOCP handle
[2026-04-16 | 22:30:41] [INFO] Room [0] is Empty and Destroyed by Server.
[2026-04-16 | 22:30:41] [INFO] Send Update Room List Packets!
[2026-04-16 | 22:31:31] [INFO] Client Session Connect with IOCP handle successful!
[2026-04-16 | 22:31:36] [INFO] [SESSION ID: 6] [PACKET ID: 501 - SIZE: 24] Pakcet Received!
[2026-04-16 | 22:31:36] [INFO] [Login Req] ID: admin, PW: admin
[2026-04-16 | 22:31:36] [INFO] Login to Server Successful! [UID: 1]
[2026-04-16 | 22:31:36] [INFO] [6] Session Login Success! [UID: 1]
[2026-04-16 | 22:31:36] [INFO] Send Update Room List Packets!
